sale_id,customer_id,salesperson_id,sale_date,required_delivery_date,shipped_date,ship_via,freight_value,ship_address_id
1001,5001,101,1999-01-15,1999-01-22,1999-01-18,Correios,25.50,2001
1002,5002,102,1999-01-16,1999-01-23,1999-01-20,Transportadora,40.00,2002
1003,5003,101,1999-01-17,1999-01-24,1999-01-21,Correios,15.75,2003
1004,5004,103,1999-01-18,1999-01-25,1999-01-22,FedEx,60.20,2004
1005,5001,102,1999-01-19,1999-01-26,1999-01-23,Transportadora,30.10,2001
1006,5005,104,1999-02-01,1999-02-08,1999-02-05,Correios,28.90,2005
1007,5006,103,1999-02-02,1999-02-09,1999-02-06,DHL,75.00,2006
1008,5007,101,1999-02-03,1999-02-10,1999-02-07,Correios,22.30,2007
1009,5008,102,1999-02-04,1999-02-11,1999-02-08,Transportadora,35.80,2008
1010,5009,104,1999-02-05,1999-02-12,1999-02-09,FedEx,55.60,2009
1011,5002,103,1999-03-10,1999-03-17,1999-03-14,Correios,18.20,2002
1012,5010,101,1999-03-11,1999-03-18,1999-03-15,Transportadora,48.90,2010
1013,5004,102,1999-03-12,1999-03-19,1999-03-16,DHL,80.50,2004
1014,5003,104,1999-03-13,1999-03-20,1999-03-17,Correios,20.00,2003
1015,5000,101,1999-01-15,1999-01-22,1999-01-18,DHL,68.32,2009
1016,5003,103,1999-01-27,1999-02-03,1999-01-30,FedEx,21.43,2003
1017,5002,104,1999-03-18,1999-03-25,1999-03-21,Correios,53.55,2009
1018,5001,101,1999-03-23,1999-03-30,1999-03-26,Correios,46.61,2006
1019,5001,102,1999-03-25,1999-04-01,1999-03-28,FedEx,57.84,2008
1020,5006,103,1999-03-22,1999-03-29,1999-03-25,FedEx,46.51,2001
1021,5001,102,1999-02-22,1999-03-01,1999-02-25,Transportadora,23.56,2009
1022,5003,101,1999-02-13,1999-02-20,1999-02-16,Transportadora,41.5,2005
1023,5001,101,1999-03-09,1999-03-16,1999-03-12,FedEx,56.43,2005
1024,5004,104,1999-02-10,1999-02-17,1999-02-13,Transportadora,26.43,2001
1025,5010,101,1999-03-25,1999-04-01,1999-03-28,DHL,47.14,2008
1026,5010,103,1999-02-20,1999-02-27,1999-02-23,Transportadora,68.77,2007
1027,5000,104,1999-03-04,1999-03-11,1999-03-07,DHL,21.84,2000
1028,5004,102,1999-02-07,1999-02-14,1999-02-10,FedEx,43.37,2003
1029,5000,101,1999-03-10,1999-03-17,1999-03-13,FedEx,72.1,2008
1030,5005,103,1999-03-02,1999-03-09,1999-03-05,FedEx,70.09,2009
1031,5004,102,1999-03-09,1999-03-16,1999-03-12,Transportadora,67.71,2007
1032,5005,102,1999-03-03,1999-03-10,1999-03-06,FedEx,70.25,2006
1033,5004,104,1999-02-14,1999-02-21,1999-02-17,DHL,47.85,2002
1034,5008,102,1999-02-04,1999-02-11,1999-02-07,Transportadora,75.93,2002
1035,5002,103,1999-01-15,1999-01-22,1999-01-18,FedEx,65.35,2005
1036,5008,103,1999-02-17,1999-02-24,1999-02-20,FedEx,21.24,2000
1037,5002,102,1999-01-26,1999-02-02,1999-01-29,DHL,71.67,2005
1038,5006,101,1999-03-14,1999-03-21,1999-03-17,Transportadora,21.83,2005
1039,5003,101,1999-02-23,1999-03-02,1999-02-26,DHL,57.75,2004
1040,5008,102,1999-03-21,1999-03-28,1999-03-24,DHL,24.13,2006
1041,5005,101,1999-02-03,1999-02-10,1999-02-06,FedEx,18.59,2003
1042,5001,103,1999-04-01,1999-04-08,1999-04-04,Correios,76.48,2002
1043,5009,104,1999-02-18,1999-02-25,1999-02-21,Correios,59.01,2002
1044,5010,104,1999-03-07,1999-03-14,1999-03-10,Transportadora,36.49,2007
1045,5002,102,1999-03-07,1999-03-14,1999-03-10,Correios,43.18,2008
1046,5007,104,1999-01-06,1999-01-13,1999-01-09,DHL,60.86,2006
1047,5006,104,1999-01-28,1999-02-04,1999-01-31,Correios,51.45,2004
1048,5009,102,1999-03-27,1999-04-03,1999-03-30,Correios,21.04,2010
1049,5000,101,1999-01-04,1999-01-11,1999-01-07,Transportadora,20.36,2004
1050,5003,104,1999-01-24,1999-01-31,1999-01-27,DHL,43.01,2002
1051,5004,101,1999-02-04,1999-02-11,1999-02-07,Correios,60.88,2006
1052,5009,101,1999-03-02,1999-03-09,1999-03-05,Correios,24.3,2005
1053,5006,104,1999-02-04,1999-02-11,1999-02-07,DHL,60.66,2009
1054,5001,103,1999-03-29,1999-04-05,1999-04-01,Correios,77.57,2004
1055,5007,102,1999-02-13,1999-02-20,1999-02-16,Correios,35.15,2008
1056,5007,104,1999-03-02,1999-03-09,1999-03-05,FedEx,76.32,2000
1057,5002,103,1999-02-11,1999-02-18,1999-02-14,FedEx,51.52,2005
1058,5002,102,1999-03-21,1999-03-28,1999-03-24,DHL,34.02,2000
1059,5006,101,1999-01-29,1999-02-05,1999-02-01,Correios,28.94,2007
1060,5004,101,1999-03-27,1999-04-03,1999-03-30,FedEx,53.65,2006
1061,5004,101,1999-03-15,1999-03-22,1999-03-18,Transportadora,44.41,2001
1062,5001,102,1999-02-24,1999-03-03,1999-02-27,DHL,63.34,2003
1063,5005,103,1999-03-21,1999-03-28,1999-03-24,Transportadora,38.43,2005
1064,5008,101,1999-02-03,1999-02-10,1999-02-06,DHL,37.98,2003
1065,5005,103,1999-03-14,1999-03-21,1999-03-17,Correios,60.18,2006
1066,5003,104,1999-01-16,1999-01-23,1999-01-19,Correios,50.74,2003
1067,5000,104,1999-03-04,1999-03-11,1999-03-07,Transportadora,22.87,2004
1068,5003,103,1999-02-27,1999-03-06,1999-03-02,Transportadora,71.13,2009
1069,5000,103,1999-01-14,1999-01-21,1999-01-17,Transportadora,48.27,2002
1070,5002,102,1999-02-18,1999-02-25,1999-02-21,DHL,45.29,2002
1071,5007,104,1999-03-24,1999-03-31,1999-03-27,Transportadora,32.11,2001
1072,5010,102,1999-02-26,1999-03-05,1999-03-01,Transportadora,28.6,2008
1073,5003,102,1999-02-07,1999-02-14,1999-02-10,Correios,62.51,2006
1074,5003,102,1999-02-02,1999-02-09,1999-02-05,Correios,45.88,2000
1075,5001,102,1999-01-28,1999-02-04,1999-01-31,DHL,25.19,2008
1076,5001,104,1999-01-11,1999-01-18,1999-01-14,DHL,58.58,2009
1077,5010,102,1999-01-13,1999-01-20,1999-01-16,FedEx,16.61,2010
1078,5001,103,1999-03-12,1999-03-19,1999-03-15,Transportadora,74.05,2002
1079,5002,103,1999-01-15,1999-01-22,1999-01-18,FedEx,33.77,2006
1080,5006,104,1999-01-28,1999-02-04,1999-01-31,FedEx,52.77,2007
1081,5000,103,1999-03-17,1999-03-24,1999-03-20,FedEx,32.06,2004
1082,5003,102,1999-02-17,1999-02-24,1999-02-20,Transportadora,59.02,2002
1083,5008,103,1999-02-22,1999-03-01,1999-02-25,Transportadora,53.3,2007
1084,5001,104,1999-02-15,1999-02-22,1999-02-18,DHL,23.97,2001
1085,5005,104,1999-03-27,1999-04-03,1999-03-30,FedEx,37.66,2006
1086,5002,101,1999-01-31,1999-02-07,1999-02-03,FedEx,63.22,2004
1087,5006,104,1999-03-15,1999-03-22,1999-03-18,FedEx,20.87,2005
1088,5007,103,1999-01-25,1999-02-01,1999-01-28,DHL,69.99,2005
1089,5001,103,1999-01-30,1999-02-06,1999-02-02,FedEx,49.72,2000
1090,5007,103,1999-01-20,1999-01-27,1999-01-23,DHL,61.55,2004
1091,5009,101,1999-02-01,1999-02-08,1999-02-04,Correios,21.29,2005
1092,5005,104,1999-01-06,1999-01-13,1999-01-09,Correios,30.7,2002
1093,5005,104,1999-02-27,1999-03-06,1999-03-02,Correios,40.71,2009
1094,5010,104,1999-01-28,1999-02-04,1999-01-31,Transportadora,53.14,2003
1095,5002,103,1999-03-02,1999-03-09,1999-03-05,Correios,61.14,2000
1096,5009,103,1999-02-21,1999-02-28,1999-02-24,Correios,68.78,2001
1097,5006,101,1999-02-15,1999-02-22,1999-02-18,FedEx,47.51,2006
1098,5008,104,1999-02-25,1999-03-04,1999-02-28,DHL,65.63,2002
1099,5002,102,1999-03-16,1999-03-23,1999-03-19,Correios,79.82,2007
