sale_id,product_id,price_per_unit,qty,discount_percentage,deleted
1001,P001,10.50,2,0.00,FALSE
1001,P003,25.00,1,0.05,FALSE
1001,P011,5.00,3,0.00,FALSE
1002,P002,5.75,3,0.00,FALSE
1002,P012,15.00,1,0.00,FALSE
1003,P004,100.00,1,0.10,FALSE
1003,P013,2.50,10,0.00,FALSE
1004,P005,12.00,5,0.00,FALSE
1004,P014,3.75,4,0.00,FALSE
1005,P001,10.50,1,0.00,FALSE
1005,P015,7.00,2,0.00,FALSE
1006,P006,8.99,2,0.00,FALSE
1006,P016,1.20,8,0.00,FALSE
1007,P007,30.00,1,0.00,TRUE
1008,P008,15.20,4,0.00,FALSE
1008,P017,22.00,1,0.00,FALSE
1009,P009,20.00,2,0.00,FALSE
1010,P010,45.50,1,0.05,FALSE
1010,P018,18.00,2,0.00,FALSE
1011,P002,5.75,1,0.00,FALSE
1011,P019,9.50,3,0.00,FALSE
1012,P006,8.99,3,0.10,FALSE
1013,P004,100.00,2,0.00,FALSE
1013,P020,35.00,1,0.00,FALSE
1014,P009,20.00,1,0.00,TRUE
1015,P001,10.50,1,0.00,FALSE
1015,P005,12.00,2,0.00,FALSE
